Account #             Income           Members
      1042           12180.06              3
      1062           13240.45              2
      1327           19800.56              2
      1483           22458.23              7
      1900           17000.09              3
      2112           18125.00              4
      2345           15623.00              2
      3210            3200.00              1
      3600           39500.00              5
      3601           11970.00              2
      4724            8900.00              3
      6217           45000.70              2
      9280            6200.00              1
      1000           31000.00              3
      1200           36000.00              2
      5601           51970.00              9
      5724           66900.00              3
      5217           10002.68              2
      5280           70000.00              1
      5000          100000.00             10
      5200           25000.40              3
      5230          120000.00              6
      6641           85000.00              7
      7000           45500.00              4
      7100           56500.00              3
      7205           50100.65              8
      8110          110005.90              8
      8340           70100.25              9
      9101           67590.40              6
      9220           35000.58              8
      9300           22000.69              4
